                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.89746,                 1.6899,                0.79042,                 1.1276,                 0.6299,                  0.375,                0.40575,                0.22959,                0.55861,                0.33333,                0.32885,                0.17231,                 1.7383,                 3.9955,                 2.2537,                 1.7871,              0.0018198,              0.0018198,              0.0018198
                     94,                0.90243,                 1.6967,                0.78286,                  1.169,                0.53938,                  0.375,                0.35306,                0.20781,                0.66336,                0.32878,                0.33648,                0.17874,                  1.907,                 4.0598,                  2.268,                 1.9537,              0.0018178,              0.0018178,              0.0018178
                     95,                0.88529,                 1.7673,                0.76914,                 1.1487,                0.49406,                0.33333,                0.33404,                0.18904,                0.56392,                0.33333,                0.31935,                0.16682,                 1.8922,                 4.1722,                 2.3696,                 1.9467,              0.0018159,              0.0018159,              0.0018159
                     96,                0.90139,                 1.6928,                0.77601,                  1.171,                0.88971,                0.20833,                0.32019,                0.17475,                0.88971,                0.20833,                0.28595,                0.16644,                 1.8467,                 4.2779,                 2.6144,                 1.8562,              0.0018139,              0.0018139,              0.0018139
                     97,                0.86679,                 1.7478,                 0.7461,                 1.1287,                0.42148,                0.20833,                0.27829,                0.15147,                0.54658,                0.20833,                0.23493,                0.14333,                 1.8894,                 4.6686,                 2.5813,                 1.9457,              0.0018119,              0.0018119,              0.0018119
                     98,                 0.8302,                 1.6429,                0.72828,                 1.1228,                0.45899,                0.35407,                0.36213,                0.20134,                0.52054,                0.29167,                0.32092,                0.17478,                 1.7657,                 4.8367,                 2.3868,                 1.8673,              0.0018099,              0.0018099,              0.0018099
                     99,                0.83101,                 1.6534,                0.76434,                 1.1109,                0.58344,                    0.5,                0.45744,                0.24111,                0.60693,                  0.375,                0.38508,                0.20566,                  1.742,                 4.8029,                 2.1515,                 1.8682,              0.0018079,              0.0018079,              0.0018079
                    100,                0.87138,                 1.6772,                0.73901,                 1.1369,                0.52439,                0.45833,                0.43984,                0.23004,                0.47623,                0.41667,                0.36055,                0.17254,                 1.8431,                 4.6632,                  2.183,                 1.8974,               0.001806,               0.001806,               0.001806
                    101,                0.91037,                 1.7168,                0.73932,                 1.1406,                0.81397,                0.36536,                0.44275,                0.24228,                0.72154,                0.32458,                0.38851,                0.14684,                 1.7554,                 4.4783,                 2.3326,                 1.7683,               0.001804,               0.001804,               0.001804
                    102,                0.84761,                  1.643,                 0.6718,                 1.1192,                0.62304,                 0.4134,                0.43762,                0.21454,                0.56063,                0.37234,                0.33637,                0.13446,                 1.8013,                 4.5045,                 2.1111,                 1.9085,               0.001802,               0.001802,               0.001802
